country,total_cases,date,StringencyIndex
hubei,41,,
hubei,41,,
hubei,41,,
hubei,41,,
hubei,41,,
hubei,45,,
hubei,62,,
hubei,121,,
hubei,198,,
hubei,270,,
hubei,375,,
hubei,444,,
hubei,444,,
hubei,549,,
hubei,761,,
hubei,1058,,
hubei,1423,,
hubei,3554,,
hubei,3554,,
hubei,4903,,
hubei,5806,,
hubei,7153,,
hubei,11177,,
hubei,13522,,
hubei,16678,,
hubei,19665,,
hubei,22112,,
hubei,24953,,
hubei,27100,,
hubei,29631,,
hubei,31728,,
hubei,33366,,
hubei,33366,,
hubei,48206,,
hubei,54406,,
hubei,56249,,
hubei,58182,,
hubei,59989,,
hubei,61682,,
hubei,62031,,
hubei,62442,,
hubei,62662,,
hubei,64084,,
hubei,64084,,
hubei,64287,,
hubei,64786,,
hubei,65187,,
hubei,65596,,
hubei,65914,,
hubei,66337,,
hubei,66907,,
hubei,67103,,
hubei,67217,,
hubei,67332,,
hubei,67466,,
hubei,67592,,
hubei,67666,,
hubei,67707,,
hubei,67743,,
hubei,67760,,
hubei,67773,,
hubei,67781,,
hubei,67786,,
hubei,67790,,
hubei,67794,,
hubei,67798,,
hubei,67799,,
hubei,67800,,
hubei,67800,,
hubei,67800,,
hubei,67800,,
hubei,67800,,
hubei,67800,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67801,,
hubei,67802,,
hubei,67802,,
hubei,67802,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,67803,,
hubei,68128,,
hubei,68128,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,0,,
israel,1,,
israel,1,2/21/2020,28.57
israel,1,2/22/2020,28.57
israel,1,2/23/2020,28.57
israel,1,2/24/2020,28.57
israel,2,2/25/2020,28.57
israel,3,2/26/2020,28.57
israel,4,2/27/2020,28.57
israel,7,2/28/2020,28.57
israel,10,2/29/2020,28.57
israel,10,3/1/2020,28.57
israel,12,3/2/2020,28.57
israel,15,3/3/2020,28.57
israel,20,3/4/2020,38.1
israel,37,3/5/2020,38.1
israel,43,3/6/2020,38.1
israel,61,3/7/2020,38.1
israel,61,3/8/2020,38.1
israel,75,3/9/2020,38.1
israel,79,3/10/2020,38.1
israel,100,3/11/2020,38.1
israel,126,3/12/2020,38.1
israel,155,3/13/2020,52.38
israel,213,3/14/2020,52.38
israel,218,3/15/2020,66.67
israel,250,3/16/2020,76.19
israel,304,3/17/2020,85.71
israel,427,3/19/2020,90.48
israel,529,3/20/2020,95.24
israel,712,3/21/2020,95.24
israel,883,3/22/2020,95.24
israel,1071,3/23/2020,95.24
israel,1238,3/24/2020,95.24
israel,2369,3/25/2020,100
israel,2693,3/26/2020,100
israel,3035,3/27/2020,100
israel,3619,3/28/2020,100
israel,4247,3/29/2020,100
israel,4695,3/30/2020,100
israel,5358,3/31/2020,100
israel,6092,4/1/2020,100
israel,6857,4/2/2020,100
israel,7428,4/3/2020,100
israel,7851,4/4/2020,100
israel,8430,4/5/2020,100
israel,8904,4/6/2020,100
israel,9248,4/7/2020,100
israel,9404,4/8/2020,100
israel,9968,4/9/2020,100
israel,10408,4/10/2020,100
israel,10743,4/11/2020,100
israel,11145,4/12/2020,100
israel,11586,4/13/2020,100
israel,12046,4/14/2020,100
israel,12501,4/15/2020,100
israel,12758,4/16/2020,100
israel,12982,4/17/2020,100
israel,13265,4/18/2020,100
,,,
