,Country,Total Cases,New Today,Total Deaths,Today's Deaths,Total Cured,Total Critical,Region,ref,date
0,China,17205,"+2,824",361.0,57.0,494.0,2296.0,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
1,Japan,20,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
2,Thailand,19,,,,7.0,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
3,Singapore,18,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
4,South Korea,15,+3,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
5,Hong Kong,15,+2,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
6,Australia,12,,,,2.0,,Oceania,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
7,U.S.,11,+3,,,,,N.America,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
8,Taiwan,10,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
9,Germany,10,+2,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
10,Vietnam,8,+2,,,1.0,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
11,Malaysia,8,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
12,Macao,8,+1,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
13,France,6,,,,,2.0,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
14,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
15,Canada,4,,,,,,N.America,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
16,Philippines,2,+1,1.0,1.0,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
17,U.K.,2,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
18,Italy,2,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
19,India,2,+1,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
21,Cambodia,1,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
22,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
23,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
24,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
25,Finland,1,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
26,Spain,1,,,,,,Europe,https://web.archive.org/web/20200202/https://www.worldometers.info/coronavirus/,2020-02-02
